model,split,station,samples,rmse,mae,r2
persistence,validation,Aotizhongxin,2150,23.295602941369427,9.669302397217862,0.9386380228859301
persistence,validation,Changping,1992,16.118832674660716,8.411144610629025,0.9259743204054046
persistence,validation,Dingling,2146,13.433381230664297,6.877912485921705,0.9552956794589994
persistence,validation,Dongsi,2156,17.703036324162387,9.445732877073128,0.967602562841211
persistence,validation,Guanyuan,2162,16.80777757771955,9.014801135005827,0.9660639404450924
persistence,validation,Gucheng,2103,19.02949636898447,10.03423685206723,0.956954322790032
persistence,validation,Huairou,2133,14.54296709188453,8.24144405688247,0.9618823948622829
persistence,validation,Nongzhanguan,2045,16.64810532421442,9.089975582649773,0.9709006641050095
persistence,validation,Shunyi,2148,18.742944027337206,9.637802644703862,0.9557310566474378
persistence,validation,Tiantan,2151,17.49989704686534,9.423523979816588,0.9625436849370298
persistence,validation,Wanliu,2146,15.871337219297168,8.34203172852142,0.9652513792520293
persistence,validation,Wanshouxigong,2126,19.402298871149302,10.041862691110412,0.9596740329411161
historical_mean,validation,Aotizhongxin,2150,55.01899951536238,32.853119998089106,0.6577237138672816
historical_mean,validation,Changping,1992,39.24726342430329,24.332601179798925,0.5611319250208102
historical_mean,validation,Dingling,2146,40.94327987815107,24.450858179031968,0.5847170711275975
historical_mean,validation,Dongsi,2156,55.745691964762834,33.737921277976874,0.6787539794369883
historical_mean,validation,Guanyuan,2162,52.052229273773925,31.174992321818983,0.6745236051714346
historical_mean,validation,Gucheng,2103,53.26705172023439,32.33775167038936,0.6627186907318435
historical_mean,validation,Huairou,2133,45.38436717983323,26.796530703899172,0.6287793451693362
historical_mean,validation,Nongzhanguan,2045,54.88011183171852,33.9678484254478,0.6837843038298081
historical_mean,validation,Shunyi,2148,53.295874534443215,31.69172883544332,0.642059594752621
historical_mean,validation,Tiantan,2151,50.973320978539846,31.169068765662427,0.6822102241058741
historical_mean,validation,Wanliu,2146,48.60346795961061,29.866165710184358,0.6741294984307404
historical_mean,validation,Wanshouxigong,2126,55.878503926536176,34.32486681117276,0.6655216973821376
ridge,validation,Aotizhongxin,2150,22.200885190528783,9.83189097027446,0.9442696185844944
ridge,validation,Changping,1992,15.482800584166712,8.918548942090997,0.9317010118783285
ridge,validation,Dingling,2146,13.017566930797473,7.637926057244947,0.9580203844272307
ridge,validation,Dongsi,2156,16.87130544912276,9.705839082792208,0.9705752682913706
ridge,validation,Guanyuan,2162,16.244962567317323,9.242630574793644,0.9682986133829883
ridge,validation,Gucheng,2103,18.235545825229828,10.380439624069874,0.9604713038013445
ridge,validation,Huairou,2133,13.752976479403086,8.573974464513078,0.9659111017901587
ridge,validation,Nongzhanguan,2045,15.943299212067341,9.43129007763851,0.9733123802273979
ridge,validation,Shunyi,2148,17.556778913263777,9.825816111857664,0.9611569592884949
ridge,validation,Tiantan,2151,16.492781715238117,9.511804218017351,0.9667308362892312
ridge,validation,Wanliu,2146,15.166407978697578,8.695822547777501,0.9682695667911012
ridge,validation,Wanshouxigong,2126,18.495150551598854,10.16829884332637,0.963356735920663
gradient_boosting,validation,Aotizhongxin,2150,22.170600540490955,9.259207022910894,0.9444215606282554
gradient_boosting,validation,Changping,1992,14.494838736182587,8.077975422742377,0.9401392705218743
gradient_boosting,validation,Dingling,2146,12.338928819513702,6.8193059089452115,0.9622832957455739
gradient_boosting,validation,Dongsi,2156,18.265192035398385,9.220204557248966,0.9655123485666637
gradient_boosting,validation,Guanyuan,2162,16.513359499989654,8.630400122149359,0.9672424283097781
gradient_boosting,validation,Gucheng,2103,17.368705318912113,9.459021834719481,0.9641400359773002
gradient_boosting,validation,Huairou,2133,12.406641143272752,7.590093149246881,0.9722586235765803
gradient_boosting,validation,Nongzhanguan,2045,16.37307821143143,8.741907130243726,0.9718541660709061
gradient_boosting,validation,Shunyi,2148,16.851810461719353,8.851330972417108,0.9642137104795901
gradient_boosting,validation,Tiantan,2151,17.68046261517173,9.030936212386713,0.9617667417258803
gradient_boosting,validation,Wanliu,2146,13.972815662838462,7.758311097464157,0.9730673931219115
gradient_boosting,validation,Wanshouxigong,2126,19.4202513094847,9.65320541386546,0.9595993732971776
persistence,local_test,Aotizhongxin,2161,27.17861283589392,12.164275745284165,0.9466685897238061
persistence,local_test,Changping,2158,28.03690630973916,11.689990754366143,0.9004126207114627
persistence,local_test,Dingling,2128,29.674597949175556,10.733082843342222,0.9105651951657152
persistence,local_test,Dongsi,2173,27.89209050013029,12.835711103290992,0.9489628029730565
persistence,local_test,Guanyuan,2172,25.211928649333025,11.783149259964185,0.952720729906583
persistence,local_test,Gucheng,2164,26.326446728304262,12.962569364778656,0.9514723754978658
persistence,local_test,Huairou,2136,24.80774388923924,11.249063692512584,0.9347766018742896
persistence,local_test,Nongzhanguan,2170,25.788147723247395,12.74746550195228,0.9535307494844042
persistence,local_test,Shunyi,2157,29.524158504256604,14.06536869545142,0.9397209967928407
persistence,local_test,Tiantan,2167,26.7669704556046,12.558375749601215,0.9483575117006228
persistence,local_test,Wanliu,2167,26.547569152697886,11.478541875578701,0.9455878691453365
persistence,local_test,Wanshouxigong,2138,31.11239769429929,13.468662303223356,0.9398749009981852
historical_mean,local_test,Aotizhongxin,2161,82.5302509348483,46.91308045464498,0.5082381599162089
historical_mean,local_test,Changping,2158,61.82116722126482,35.222910853864086,0.5158069803930956
historical_mean,local_test,Dingling,2128,67.48940302349195,36.75740133461199,0.537397420911125
historical_mean,local_test,Dongsi,2173,86.22112925673311,50.01390173004017,0.5123007399195515
historical_mean,local_test,Guanyuan,2172,79.13337307559357,46.15258585945677,0.5342230631494856
historical_mean,local_test,Gucheng,2164,82.93377261797785,49.447011749316935,0.5184211748555291
historical_mean,local_test,Huairou,2136,68.23482992521751,39.61351037337985,0.5065523225445856
historical_mean,local_test,Nongzhanguan,2170,82.0889253597914,49.05756523795941,0.5291370601096439
historical_mean,local_test,Shunyi,2157,86.46186615492384,49.245634326572265,0.4830361018676109
historical_mean,local_test,Tiantan,2167,82.41666032836115,48.97650368223555,0.5104030034462304
historical_mean,local_test,Wanliu,2167,79.40460066155237,44.87017389987546,0.513214599860803
historical_mean,local_test,Wanshouxigong,2138,86.628740130908,50.808524308860356,0.533863792805571
ridge,local_test,Aotizhongxin,2161,25.219219466532238,12.114184853104959,0.9540810682568533
ridge,local_test,Changping,2158,27.22750056270452,11.875155557627144,0.9060796560394546
ridge,local_test,Dingling,2128,28.37541359284167,11.2697546123562,0.9182248635786922
ridge,local_test,Dongsi,2173,26.411147056611288,13.088753027461719,0.9542386097307147
ridge,local_test,Guanyuan,2172,24.0044005988686,11.934167591467308,0.9571411655450831
ridge,local_test,Gucheng,2164,25.320816164991086,13.178500279481222,0.9551089317854927
ridge,local_test,Huairou,2136,24.158738059566375,11.458238682050384,0.9381446352226794
ridge,local_test,Nongzhanguan,2170,24.255827686039368,12.802041792979438,0.9588890448792697
ridge,local_test,Shunyi,2157,27.613150912188654,13.56316404912999,0.9472718009062382
ridge,local_test,Tiantan,2167,25.047449520678846,12.728361049664422,0.9547794603597236
ridge,local_test,Wanliu,2167,25.081767609416186,11.696464640675023,0.9514306276063347
ridge,local_test,Wanshouxigong,2138,29.281861179447887,13.519251078506628,0.9467418353264545
gradient_boosting,local_test,Aotizhongxin,2161,31.22441176680735,12.451330544605458,0.9296090178309607
gradient_boosting,local_test,Changping,2158,25.918243102377502,11.06915263183919,0.9148949676514808
gradient_boosting,local_test,Dingling,2128,29.48579871179449,10.969487024485169,0.9116996003155636
gradient_boosting,local_test,Dongsi,2173,34.49426181176726,13.663120855672865,0.9219418248361035
gradient_boosting,local_test,Guanyuan,2172,28.580912504252655,12.263043732932918,0.9392409737209064
gradient_boosting,local_test,Gucheng,2164,29.585010852255017,13.264966269297432,0.938715872793053
gradient_boosting,local_test,Huairou,2136,22.94152107190283,10.755842794639788,0.9442206690584956
gradient_boosting,local_test,Nongzhanguan,2170,27.659132306992767,12.728566918834563,0.9465432596842769
gradient_boosting,local_test,Shunyi,2157,34.02084837206841,13.694926690546849,0.9199610681288894
gradient_boosting,local_test,Tiantan,2167,34.13003294443693,13.518126865548917,0.9160381236206528
gradient_boosting,local_test,Wanliu,2167,30.03289457795715,11.59946017403948,0.9303629130345219
gradient_boosting,local_test,Wanshouxigong,2138,42.0000140942194,15.2727282736433,0.8904309960468312
