,dtype,non_null_count,missing_count,unique_values,missing_percent
No,int64,315648,0,26304,0.0
year,int64,315648,0,4,0.0
month,int64,315648,0,12,0.0
day,int64,315648,0,31,0.0
hour,int64,315648,0,24,0.0
PM2.5,float64,309276,6372,865,2.018704379562044
PM10,float64,311033,4615,1023,1.4620716747769669
SO2,float64,308661,6987,684,2.213541666666667
NO2,float64,305989,9659,1206,3.060054237631792
CO,float64,297542,18106,132,5.7361364557988646
O3,float64,305471,10177,1595,3.224161090835361
TEMP,float64,315469,179,603,0.056708738848337395
PRES,float64,315468,180,606,0.05702554744525547
DEWP,float64,315464,184,645,0.05829278183292782
RAIN,float64,315472,176,227,0.055758313057583136
wd,str,314973,675,16,0.21384580291970803
WSPM,float64,315470,178,115,0.0563919302514193
station,str,315648,0,12,0.0
