,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
PM2.5,1.0,0.8731840315002071,0.49874172638340725,0.6498750185983124,0.7775715257994336,-0.13738042946235932,-0.10631168002574534,0.009655333300732039,0.13778095992590095,-0.005765081593145375,-0.2666320121390764
PM10,0.8731840315002071,1.0,0.4743451961870508,0.6401278419210816,0.6841388180702276,-0.0886169938375532,-0.06014895995396704,-0.03580329254608467,0.09928736248386075,-0.01897036091853715,-0.17459255777058322
SO2,0.49874172638340725,0.4743451961870508,1.0,0.5180638231872944,0.5799683614052485,-0.17169077325983026,-0.3271460342256917,0.2325012649029987,-0.27071280254727326,-0.039292519655073695,-0.10281423368944653
NO2,0.6498750185983124,0.6401278419210816,0.5180638231872944,1.0,0.6911369586193191,-0.4619491381684929,-0.2488699161022466,0.15743235097444513,-0.00948904413707409,-0.03911295681030718,-0.3910810031488639
CO,0.7775715257994336,0.6841388180702276,0.5799683614052485,0.6911369586193191,1.0,-0.3098350015115603,-0.3157498188698836,0.18365568805353955,-0.05057905188421197,-0.00746548812961635,-0.2906390224942643
O3,-0.13738042946235932,-0.0886169938375532,-0.17169077325983026,-0.4619491381684929,-0.3098350015115603,1.0,0.5909264367738533,-0.4510813810291905,0.3168391344603172,0.029608462951403226,0.2751359631411567
TEMP,-0.10631168002574534,-0.06014895995396704,-0.3271460342256917,-0.2488699161022466,-0.3157498188698836,0.5909264367738533,1.0,-0.8123656604972087,0.8227338092479407,0.035678171737029245,0.013898648498464714
PRES,0.009655333300732039,-0.03580329254608467,0.2325012649029987,0.15743235097444513,0.18365568805353955,-0.4510813810291905,-0.8123656604972087,1.0,-0.7472616887596059,-0.05584579373630099,0.07983189441070788
DEWP,0.13778095992590095,0.09928736248386075,-0.27071280254727326,-0.00948904413707409,-0.05057905188421197,0.3168391344603172,0.8227338092479407,-0.7472616887596059,1.0,0.08275321457118215,-0.3100946106452444
RAIN,-0.005765081593145375,-0.01897036091853715,-0.039292519655073695,-0.03911295681030718,-0.00746548812961635,0.029608462951403226,0.035678171737029245,-0.05584579373630099,0.08275321457118215,1.0,0.005811794622034969
WSPM,-0.2666320121390764,-0.17459255777058322,-0.10281423368944653,-0.3910810031488639,-0.2906390224942643,0.2751359631411567,0.013898648498464714,0.07983189441070788,-0.3100946106452444,0.005811794622034969,1.0
