,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
PM2.5,309276.0,80.3623992809012,80.1693109918062,2.0,3.0,6.0,21.0,56.0,113.0,242.0,361.0,999.0
PM10,311033.0,105.66792237479623,91.02387026133329,2.0,5.0,10.0,36.0,84.0,148.0,278.0,413.0,999.0
SO2,308661.0,17.81141347692128,23.51280031067369,0.2856,1.0,2.0,3.0,9.0,22.0,67.0,111.0,500.0
NO2,305989.0,51.24226452454173,35.00267270037019,1.0265,3.0,8.0,24.0,44.0,72.0,117.0,156.00335999999987,290.0
CO,297542.0,1242.3871016528758,1134.9710644000047,100.0,100.0,200.0,500.0,900.0,1600.0,3500.0,5800.0,10000.0
O3,305471.0,57.27800084459736,56.63535923450752,0.2142,1.0,2.0,11.0,45.0,82.0,176.0,244.57999999999302,1071.0
TEMP,315469.0,13.392029608386679,11.447168595454364,-19.9,-8.1,-4.5,3.0,14.4,23.1,30.5,33.9,41.6
PRES,315468.0,1010.645132965927,10.467822005765122,982.4,990.1,994.4,1002.2,1010.3,1019.0,1027.6,1032.4,1042.8
DEWP,315464.0,2.408688471584713,13.858514579963266,-43.4,-25.2,-20.1,-9.1,3.0,15.2,21.9,24.3,29.1
RAIN,315472.0,0.06078606025257393,0.7949950149210633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,72.5
WSPM,315470.0,1.7080603543918595,1.267147212887031,0.0,0.0,0.2,0.9,1.4,2.2,4.3,6.2,13.2
