station,valid_count,mean,median,standard_deviation,minimum,maximum
Dongsi,25933,85.58412447460765,61.0,85.08115333982221,3.0,737.0
Nongzhanguan,25818,85.34983344953133,60.0,85.91456202675401,3.0,844.0
Wanliu,26033,85.2466446433373,61.0,81.91475623057643,3.0,957.0
Wanshouxigong,25820,84.74626258714176,61.0,84.50661277388407,3.0,999.0
Gucheng,25813,83.7561771200558,60.0,80.72632118815004,2.0,770.0
Aotizhongxin,25558,83.58683386806479,60.0,81.52432804804346,3.0,898.0
Guanyuan,25878,82.76608702372671,60.0,79.84331320239707,3.0,680.0
Tiantan,25765,82.74604308169998,60.0,80.29349253151477,3.0,821.0
Shunyi,25717,80.07981879690477,56.0,80.47160338330109,3.0,941.0
Changping,25644,72.40704258306036,47.0,72.42677014353663,2.0,882.0
Huairou,25489,71.14877005767194,48.0,71.45185131827411,2.0,762.0
Dingling,25808,66.72190406075634,41.0,73.17632757373678,3.0,881.0
