wind_direction,count,percentage
NE,30089,9.532453872668288
ENE,26371,8.354559509326846
N,24236,7.678173154906731
E,23339,7.393995843471209
NW,22778,7.216266220600162
SW,21005,6.654564578264396
NNE,20766,6.578847323600972
WNW,19928,6.313361719383617
NNW,18748,5.939527575020276
ESE,18348,5.812804136253042
WSW,16603,5.2599731346309815
SSW,16491,5.224490571776156
W,15031,4.76195002027575
SE,14157,4.485059306569343
S,14083,4.461615470397405
SSE,13000,4.118511759935117
,675,0.21384580291970803
