model,split,pollution_range,samples,rmse,mae,r2
feedforward_lstm_ensemble,validation,0-35,10864,8.727719922195392,4.484943238335259,0.07380843528259562
feedforward_lstm_ensemble,validation,35-75,5755,10.938965636562939,7.399141987503144,0.08739758304431378
feedforward_lstm_ensemble,validation,75-150,4592,17.078208778843425,10.146802851962711,0.3610050085977671
feedforward_lstm_ensemble,validation,150-250,2644,21.657244633237045,14.388241115748972,0.46658132090643556
feedforward_lstm_ensemble,validation,250+,1619,34.24531715169396,21.876490809138428,0.7948937343237441
feedforward_lstm_ensemble,local_test,0-35,12772,8.585749669317849,4.5538463213210045,-0.19056889375643005
feedforward_lstm_ensemble,local_test,35-75,3773,16.70457206361597,10.704845574816499,-1.112091620852234
feedforward_lstm_ensemble,local_test,75-150,4246,22.309946904372108,13.824649274208834,-0.10034983648041451
feedforward_lstm_ensemble,local_test,150-250,2868,28.02164535687796,18.613105001143666,0.06985615796955846
feedforward_lstm_ensemble,local_test,250+,2247,65.42594503756187,36.79558421730412,0.6908314787064136
