model,split,station,samples,rmse,mae,r2
feedforward_lstm_ensemble,validation,Aotizhongxin,2150,20.89209111188244,8.976912322155265,0.9506468069559233
feedforward_lstm_ensemble,validation,Changping,1992,14.231836975730502,8.07496824417727,0.9422918503016076
feedforward_lstm_ensemble,validation,Dingling,2146,11.58078368811397,6.630599657176036,0.9667757858021389
feedforward_lstm_ensemble,validation,Dongsi,2156,15.410320474347438,8.545900542351221,0.9754507360115096
feedforward_lstm_ensemble,validation,Guanyuan,2162,15.062022342661292,8.40320320927799,0.9727474337718915
feedforward_lstm_ensemble,validation,Gucheng,2103,16.474368617412114,9.256718319028092,0.9677379088342379
feedforward_lstm_ensemble,validation,Huairou,2133,11.94514645856839,7.395619955523384,0.9742840529996629
feedforward_lstm_ensemble,validation,Nongzhanguan,2045,14.494907091998227,8.327440052685352,0.9779410762197589
feedforward_lstm_ensemble,validation,Shunyi,2148,15.909902499980841,8.734256149226283,0.9681023582626808
feedforward_lstm_ensemble,validation,Tiantan,2151,15.304573480606681,8.453870439684597,0.9713518538410427
feedforward_lstm_ensemble,validation,Wanliu,2146,13.254215607568387,7.541138812080234,0.975766363195521
feedforward_lstm_ensemble,validation,Wanshouxigong,2126,17.165810179082996,9.166452020266544,0.968434910703919
feedforward_lstm_ensemble,local_test,Aotizhongxin,2161,24.319176314757595,11.093871617306167,0.9573001630407543
feedforward_lstm_ensemble,local_test,Changping,2158,24.995761677227193,10.811950041476614,0.920845269702799
feedforward_lstm_ensemble,local_test,Dingling,2128,26.878421616072036,10.231672246877412,0.9266256274416773
feedforward_lstm_ensemble,local_test,Dongsi,2173,25.215936632473337,11.936387726309329,0.9582866670096598
feedforward_lstm_ensemble,local_test,Guanyuan,2172,22.389974384204624,10.87816741189904,0.962712280934637
feedforward_lstm_ensemble,local_test,Gucheng,2164,24.55393208490347,12.195852602255322,0.9577869589522077
feedforward_lstm_ensemble,local_test,Huairou,2136,21.966824957217845,10.15758841426185,0.9488596776579654
feedforward_lstm_ensemble,local_test,Nongzhanguan,2170,21.94215011260162,11.428847408074937,0.9663578507618416
feedforward_lstm_ensemble,local_test,Shunyi,2157,26.107849269411513,12.01694040935129,0.9528639485742153
feedforward_lstm_ensemble,local_test,Tiantan,2167,24.597246123316193,11.763937914487014,0.9563904410733634
feedforward_lstm_ensemble,local_test,Wanliu,2167,24.53418238415131,10.606888390379563,0.9535282110437
feedforward_lstm_ensemble,local_test,Wanshouxigong,2138,29.55455693092189,12.675571703041012,0.9457452524086828
