model,split,pollution_range,samples,rmse,mae,r2
feedforward_nn,validation,0-35,10864,9.345371622146804,4.980151622039053,-0.06192139584005352
feedforward_nn,validation,35-75,5755,11.62454642552384,7.932005005479377,-0.030578626198910053
feedforward_nn,validation,75-150,4592,17.59598776829678,10.45423370641283,0.32167141308980307
feedforward_nn,validation,150-250,2644,21.969609195250758,14.818401091398162,0.4510832563023821
feedforward_nn,validation,250+,1619,33.997139807022215,22.475584896057015,0.7978557907702959
feedforward_nn,local_test,0-35,12772,10.361294667502706,5.2990280286369,-0.7339083483441948
feedforward_nn,local_test,35-75,3773,17.9016859702856,11.270843712366641,-1.4256599287751919
feedforward_nn,local_test,75-150,4246,22.475238851406875,14.029651748982456,-0.11671497874826664
feedforward_nn,local_test,150-250,2868,28.47906151113909,18.96387173773687,0.03924158330971872
feedforward_nn,local_test,250+,2247,64.86229130678944,38.27381887465623,0.6961355927227946
