model,split,station,samples,rmse,mae,r2
feedforward_nn,validation,Aotizhongxin,2150,21.05202469911443,9.548740441965503,0.9498882954802517
feedforward_nn,validation,Changping,1992,14.79199571236612,8.663319350964573,0.9376597164025092
feedforward_nn,validation,Dingling,2146,12.003350782191943,7.0008096374981,0.9643069373278693
feedforward_nn,validation,Dongsi,2156,15.67184192836614,9.050345367757199,0.9746104373289151
feedforward_nn,validation,Guanyuan,2162,15.491722095295327,8.847192563357781,0.9711702933087922
feedforward_nn,validation,Gucheng,2103,17.303567561388576,9.826941945016582,0.9644085024587269
feedforward_nn,validation,Huairou,2133,12.295312085495256,7.696680339468068,0.9727542556384632
feedforward_nn,validation,Nongzhanguan,2045,14.873640167701078,8.910337154089968,0.9767732744013049
feedforward_nn,validation,Shunyi,2148,16.408257809389518,9.143261817580495,0.9660727638439304
feedforward_nn,validation,Tiantan,2151,15.29801625305872,8.775136188815662,0.9713763971150974
feedforward_nn,validation,Wanliu,2146,13.98504083987173,8.083745339821125,0.9730202444394646
feedforward_nn,validation,Wanshouxigong,2126,17.309141133891252,9.62012515983151,0.9679055861182546
feedforward_nn,local_test,Aotizhongxin,2161,24.499675457289428,11.74953837021806,0.9566639666548922
feedforward_nn,local_test,Changping,2158,25.94558116132144,11.45927566394859,0.9147153386996905
feedforward_nn,local_test,Dingling,2128,27.121665348055995,10.80732625633254,0.9252915747185012
feedforward_nn,local_test,Dongsi,2173,25.563369386165473,12.441259049732894,0.9571292704070306
feedforward_nn,local_test,Guanyuan,2172,23.442168280368083,11.655921553160384,0.9591253372056793
feedforward_nn,local_test,Gucheng,2164,24.36848722961032,12.707523700269887,0.9584221834734548
feedforward_nn,local_test,Huairou,2136,23.217288097532435,10.873988655399295,0.9428716259944291
feedforward_nn,local_test,Nongzhanguan,2170,23.11387449552127,12.183521830431328,0.9626688927924463
feedforward_nn,local_test,Shunyi,2157,26.75801255977895,12.759127963733276,0.950487060307447
feedforward_nn,local_test,Tiantan,2167,24.626445769919258,12.420380997888824,0.9562868408958227
feedforward_nn,local_test,Wanliu,2167,24.546379627540265,11.28771145463705,0.9534819923752476
feedforward_nn,local_test,Wanshouxigong,2138,29.0690374262666,13.259689439447044,0.9475131942139274
