model,split,pollution_range,samples,rmse,mae,r2
gru,local_test,0-35,12772,7.925869775268646,4.228398931705948,-0.014593212809213219
gru,local_test,150-250,2868,27.723008733489788,18.75534363670828,0.0895762592873548
gru,local_test,250+,2247,77.37152987480245,45.079401094328844,0.5676279335556957
gru,local_test,35-75,3773,16.065515168682516,10.291395305797336,-0.9535807079468019
gru,local_test,75-150,4246,21.963740767284097,13.863247453632974,-0.06646431535339681
gru,validation,0-35,10864,8.58247011197876,4.371960472463684,0.10437992687138542
gru,validation,150-250,2644,22.111249846338016,14.956874381395764,0.44398257895279847
gru,validation,250+,1619,39.65471052112108,24.64022744681233,0.7249788396568912
gru,validation,35-75,5755,10.801612048424568,7.248417952907904,0.11017162873031938
gru,validation,75-150,4592,16.754891440036964,10.173648242335702,0.38497034932067575
lstm,local_test,0-35,12772,7.68360618907194,4.202208133129128,0.04648334501138762
lstm,local_test,150-250,2868,28.467119520078086,19.184587644898908,0.040047155001930124
lstm,local_test,250+,2247,70.6473507151904,39.099848783329215,0.6395151473654175
lstm,local_test,35-75,3773,15.961181695393128,10.434145214890663,-0.9282890174014571
lstm,local_test,75-150,4246,22.638046302017557,14.177386144169985,-0.13295222731959622
lstm,validation,0-35,10864,8.528285034134084,4.38284346193558,0.11565314985803976
lstm,validation,150-250,2644,22.120226677136785,14.776899611895816,0.44353101809257645
lstm,validation,250+,1619,36.442234572275886,22.995805805152106,0.7677335186042253
lstm,validation,35-75,5755,10.83993328204373,7.348828960935723,0.10384668234578753
lstm,validation,75-150,4592,17.03763105324251,10.398965049288414,0.3640378980796849
