model,split,station,samples,rmse,mae,r2
gru,local_test,Aotizhongxin,2161,27.09627135400375,11.637113787519992,0.9469912504285978
gru,local_test,Changping,2158,25.358138772692417,10.728054560147799,0.918533535068196
gru,local_test,Dingling,2128,29.349424715600687,10.57759876829341,0.9125145031913245
gru,local_test,Dongsi,2173,28.6752315258461,12.722460474114346,0.9460565709878697
gru,local_test,Guanyuan,2172,24.938934698119994,11.532955984603854,0.9537390634808749
gru,local_test,Gucheng,2164,27.343287522655892,13.001372512629645,0.9476512883251506
gru,local_test,Huairou,2136,22.279357096473806,10.143016806702489,0.9473941319464423
gru,local_test,Nongzhanguan,2170,23.424191258824525,11.634520447418986,0.9616597818047936
gru,local_test,Shunyi,2157,28.941179080383872,12.688767019332865,0.9420780136794951
gru,local_test,Tiantan,2167,27.896041939365684,12.56140095350321,0.9439089079791775
gru,local_test,Wanliu,2167,27.68178929671651,11.225083265537814,0.9408391330476932
gru,local_test,Wanshouxigong,2138,34.21134327148959,13.575610302005336,0.9273008899172102
gru,validation,Aotizhongxin,2150,22.591499383081548,9.485085271458294,0.9422912662691032
gru,validation,Changping,1992,13.998834262355716,7.8621473309984165,0.9441659703738144
gru,validation,Dingling,2146,11.552646270265614,6.5425339755007625,0.9669370370515552
gru,validation,Dongsi,2156,17.0275071214853,8.960412886125038,0.9700278928602848
gru,validation,Guanyuan,2162,15.71029997062368,8.489822160966082,0.9703510181845715
gru,validation,Gucheng,2103,16.54920025435152,9.313566223077416,0.9674441545514767
gru,validation,Huairou,2133,12.334097771150576,7.6437145317880635,0.9725820905685466
gru,validation,Nongzhanguan,2045,15.88907123264883,8.57358650380067,0.9734936168042873
gru,validation,Shunyi,2148,15.943788622041795,8.838445922293921,0.9679663375096307
gru,validation,Tiantan,2151,16.663908602230816,8.763098226930307,0.9660368618332799
gru,validation,Wanliu,2146,13.182341561452448,7.465099685012127,0.9760284755689492
gru,validation,Wanshouxigong,2126,18.47308041296859,9.415706244708229,0.9634441360631631
lstm,local_test,Aotizhongxin,2161,25.667572636547654,11.324383701896403,0.9524338398902693
lstm,local_test,Changping,2158,25.377861021181424,10.864399158037626,0.9184067649858876
lstm,local_test,Dingling,2128,28.212009558605132,10.181260674071492,0.919163980289862
lstm,local_test,Dongsi,2173,25.98733214206439,12.03340034489252,0.9556954757099703
lstm,local_test,Guanyuan,2172,22.73267115433079,10.858185354297772,0.9615621078772775
lstm,local_test,Gucheng,2164,25.936376038953764,12.625066902633074,0.9528997591552495
lstm,local_test,Huairou,2136,22.074388915361858,10.098036271579257,0.9483576184484308
lstm,local_test,Nongzhanguan,2170,21.86884712522387,11.35369225998628,0.9665822545491339
lstm,local_test,Shunyi,2157,27.392114987753168,12.24934360458169,0.9481125727092294
lstm,local_test,Tiantan,2167,26.07606446745406,11.831621710254016,0.9509890847488257
lstm,local_test,Wanliu,2167,26.176782853800805,10.731929254025758,0.9470971884996547
lstm,local_test,Wanshouxigong,2138,32.1424262031132,12.932095003752535,0.9358279146672027
lstm,validation,Aotizhongxin,2150,21.582775479813453,9.197248711253321,0.9473296724360686
lstm,validation,Changping,1992,14.133778594037128,7.996884507826533,0.9430843373320351
lstm,validation,Dingling,2146,11.482546868139375,6.5550402932820315,0.9673370600772644
lstm,validation,Dongsi,2156,15.976246747584677,8.704376475266933,0.9736145409673418
lstm,validation,Guanyuan,2162,15.404846938960226,8.555644589590871,0.9714927316534947
lstm,validation,Gucheng,2103,16.508809333376167,9.405703341683148,0.9676028759249277
lstm,validation,Huairou,2133,12.1444125897247,7.518942642256625,0.973418921941621
lstm,validation,Nongzhanguan,2045,14.968861641071399,8.47173718473439,0.9764749260968758
lstm,validation,Shunyi,2148,16.054007144105515,8.869485908824416,0.9675219128128081
lstm,validation,Tiantan,2151,15.963610775446755,8.609346071657388,0.9688314698264674
lstm,validation,Wanliu,2146,13.164337509082287,7.522227920779311,0.9760939100528773
lstm,validation,Wanshouxigong,2126,17.755610780402108,9.310144438792936,0.9662285550055818
