split,station,sequences,first_target,last_target,target_mean
local_test,Aotizhongxin,2161,2015-12-01,2016-02-29 23:00:00,89.91069
local_test,Changping,2158,2015-12-01,2016-02-29 23:00:00,71.67655
local_test,Dingling,2128,2015-12-01,2016-02-29 23:00:00,70.7265
local_test,Dongsi,2173,2015-12-01,2016-02-29 23:00:00,92.65025
local_test,Guanyuan,2172,2015-12-01,2016-02-29 23:00:00,88.657
local_test,Gucheng,2164,2015-12-01,2016-02-29 23:00:00,96.38771
local_test,Huairou,2136,2015-12-01,2016-02-29 23:00:00,76.66807
local_test,Nongzhanguan,2170,2015-12-01,2016-02-29 23:00:00,92.69447
local_test,Shunyi,2157,2015-12-01,2016-02-29 23:00:00,91.36996
local_test,Tiantan,2167,2015-12-01,2016-02-29 23:00:00,92.56945
local_test,Wanliu,2167,2015-12-01,2016-02-29 23:00:00,87.95477
local_test,Wanshouxigong,2138,2015-12-01,2016-02-29 23:00:00,98.71516
train,Aotizhongxin,21223,2013-03-02,2015-08-31 23:00:00,82.95676
train,Changping,21470,2013-03-02,2015-08-31 23:00:00,73.58986
train,Dingling,21510,2013-03-02,2015-08-31 23:00:00,67.176796
train,Dongsi,21580,2013-03-02,2015-08-31 23:00:00,84.834854
train,Guanyuan,21520,2013-03-02,2015-08-31 23:00:00,82.19943
train,Gucheng,21522,2013-03-02,2015-08-31 23:00:00,82.44133
train,Huairou,21196,2013-03-02,2015-08-31 23:00:00,70.91361
train,Nongzhanguan,21579,2013-03-02,2015-08-31 23:00:00,84.32309
train,Shunyi,21388,2013-03-02,2015-08-31 23:00:00,78.980255
train,Tiantan,21423,2013-03-02,2015-08-31 23:00:00,82.00073
train,Wanliu,21696,2013-03-02,2015-08-31 23:00:00,85.80056
train,Wanshouxigong,21532,2013-03-02,2015-08-31 23:00:00,83.291824
validation,Aotizhongxin,2150,2015-09-01,2015-11-30 23:00:00,84.30372
validation,Changping,1992,2015-09-01,2015-11-30 23:00:00,61.261044
validation,Dingling,2146,2015-09-01,2015-11-30 23:00:00,58.866264
validation,Dongsi,2156,2015-09-01,2015-11-30 23:00:00,86.84323
validation,Guanyuan,2162,2015-09-01,2015-11-30 23:00:00,83.32331
validation,Gucheng,2103,2015-09-01,2015-11-30 23:00:00,85.0718
validation,Huairou,2133,2015-09-01,2015-11-30 23:00:00,68.67417
validation,Nongzhanguan,2045,2015-09-01,2015-11-30 23:00:00,89.31638
validation,Shunyi,2148,2015-09-01,2015-11-30 23:00:00,80.495346
validation,Tiantan,2151,2015-09-01,2015-11-30 23:00:00,81.09949
validation,Wanliu,2146,2015-09-01,2015-11-30 23:00:00,77.77586
validation,Wanshouxigong,2126,2015-09-01,2015-11-30 23:00:00,86.29492
